Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches
331,Héctor Bellerín,es ESP,DF,Barcelona,es La Liga,27,1995,3,143,48,4.2,1.6,1,90,1,2,27,8,3.00,4,0,+4,+2.52,+1.25,Matches
332,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,19,2003,31,2691,87,87.9,29.9,30,89,28,1,25,1,2.06,73,40,+33,+1.10,-0.36,Matches
333,Vicente Bellmunt,es ESP,GK,Getafe,es La Liga,22,2000,0,,,,,0,,0,0,,1,,,,,,,Matches
334,Paul Bellon,fr FRA,MF,Lorient,fr Ligue 1,22,2000,0,,,,,0,,0,0,,2,,,,,,,Matches
335,Jeanuël Belocian,fr FRA,DF,Rennes,fr Ligue 1,17,2005,8,506,63,14.8,5.6,6,81,2,2,12,20,2.63,16,3,+13,+2.31,+1.79,Matches
336,Andrea Belotti,it ITA,FW,Roma,it Serie A,28,1993,31,1146,37,33.5,12.7,11,70,2,20,19,2,1.58,19,17,+2,+0.16,-0.24,Matches
337,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,23,1999,36,2855,79,83.5,31.7,33,84,22,3,28,0,1.17,35,44,-9,-0.28,-0.12,Matches
338,Eliesse Ben Seghir,ma MAR,"FW,MF",Monaco,fr Ligue 1,17,2005,19,1052,55,30.8,11.7,13,67,0,6,30,2,1.79,21,18,+3,+0.26,-0.09,Matches
339,Salim Ben Seghir,fr FRA,FW,Marseille,fr Ligue 1,19,2003,1,4,4,0.1,0.0,0,,0,1,4,3,3.00,0,0,0,0.00,-0.71,Matches
340,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,31,1990,32,2114,66,61.8,23.5,28,72,9,4,23,4,1.53,48,38,+10,+0.43,+0.29,Matches
341,Marco Benassi,it ITA,DF,Fiorentina,it Serie A,27,1994,2,93,47,2.7,1.0,1,70,0,1,23,2,1.50,2,2,0,0.00,-0.27,Matches
342,Marco Benassi,it ITA,MF,Cremonese,it Serie A,27,1994,15,998,67,29.2,11.1,11,81,7,4,27,1,0.87,9,21,-12,-1.08,-0.30,Matches
343,Iker Benito,es ESP,MF,Osasuna,es La Liga,19,2002,4,176,44,5.1,2.0,2,72,0,2,17,5,2.25,2,0,+2,+1.02,+1.22,Matches
344,Filip Benković,hr CRO,DF,Udinese,it Serie A,25,1997,0,,,,,0,,0,0,,4,,,,,,,Matches
345,Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,24,1997,28,2007,72,58.7,22.3,24,79,13,4,26,1,1.82,38,21,+17,+0.76,+0.51,Matches
346,Rhys Bennett,eng ENG,DF,Manchester Utd,eng Premier League,18,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
347,Saïd Benrahma,dz ALG,"MF,FW",West Ham United,eng Premier League,26,1995,35,2069,59,60.5,23.0,22,77,8,13,28,3,0.89,25,31,-6,-0.26,+0.21,Matches
348,Ramy Bensebaini,dz ALG,DF,Gladbach,de Bundesliga,27,1995,28,2481,89,81.1,27.6,28,89,22,0,,0,1.43,44,40,+4,+0.15,+1.23,Matches
349,Nabil Bentaleb,dz ALG,MF,Angers,fr Ligue 1,27,1994,30,2489,83,72.8,27.7,29,85,23,1,15,0,0.43,24,64,-40,-1.45,-0.67,Matches
350,Rodrigo Bentancur,uy URU,MF,Tottenham Hotspur,eng Premier League,25,1997,18,1500,83,43.9,16.7,17,86,10,1,33,0,1.89,33,24,+9,+0.54,+0.63,Matches
351,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,29,1993,2,180,90,5.3,2.0,2,90,2,0,,16,0.50,1,3,-2,-1.00,-0.31,Matches
352,Karim Benzema,fr FRA,FW,Real Madrid,es La Liga,34,1987,24,2038,85,59.6,22.6,24,85,18,0,,0,2.08,46,17,+29,+1.28,+0.63,Matches
353,Alessandro Berardi,it ITA,GK,Hellas Verona,it Serie A,31,1991,0,,,,,0,,0,0,,34,,,,,,,Matches
354,Domenico Berardi,it ITA,"FW,MF",Sassuolo,it Serie A,27,1994,26,1866,72,54.6,20.7,22,80,11,4,24,1,1.12,30,32,-2,-0.10,+0.60,Matches
355,Yuri Berchiche,es ESP,DF,Athletic Club,es La Liga,32,1990,29,2406,83,70.4,26.7,27,87,24,2,28,1,1.10,23,32,-9,-0.34,-1.49,Matches
356,Álex Berenguer,es ESP,MF,Athletic Club,es La Liga,27,1995,37,2297,62,67.2,25.5,26,78,10,11,25,1,1.30,30,33,-3,-0.12,-0.68,Matches
357,Bartosz Bereszyński,pl POL,"DF,MF",Sampdoria,it Serie A,30,1992,15,1198,80,35.0,13.3,15,80,10,0,,1,0.60,8,20,-12,-0.90,+0.52,Matches
358,Bartosz Bereszyński,pl POL,DF,Napoli,it Serie A,30,1992,3,166,55,4.9,1.8,2,76,1,1,15,18,1.33,3,4,-1,-0.54,-1.93,Matches
359,Patrick Berg,no NOR,"DF,MF",Lens,fr Ligue 1,24,1997,3,25,8,0.7,0.3,0,,0,3,8,1,3.00,0,2,-2,-7.20,-8.29,Matches
360,Mitchell van Bergen,nl NED,"MF,FW",Reims,fr Ligue 1,22,1999,28,905,32,26.5,10.1,6,74,2,22,21,2,1.39,13,15,-2,-0.20,-0.27,Matches
361,Tom Berger,de GER,MF,Werder Bremen,de Bundesliga,21,2001,0,,,,,0,,0,0,,6,,,,,,,Matches
362,Etrit Berisha,al ALB,GK,Torino,it Serie A,33,1989,0,,,,,0,,0,0,,13,,,,,,,Matches
363,Medon Berisha,al ALB,MF,Lecce,it Serie A,18,2003,0,,,,,0,,0,0,,1,,,,,,,Matches
364,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,24,1998,23,1679,73,54.9,18.7,20,81,9,3,19,0,1.22,24,32,-8,-0.43,+0.42,Matches
365,Stan Berkani,dz ALG,MF,Clermont Foot,fr Ligue 1,18,2003,0,,,,,0,,0,0,,4,,,,,,,Matches
366,Emilio Bernard,es ESP,GK,Valencia,es La Liga,22,1999,0,,,,,0,,0,0,,2,,,,,,,Matches
367,Quentin Bernard,fr FRA,DF,Auxerre,fr Ligue 1,33,1989,7,630,90,18.4,7.0,7,90,7,0,,10,0.86,8,12,-4,-0.57,+0.20,Matches
368,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,25,1997,27,2430,90,71.1,27.0,27,90,27,0,,11,0.30,21,62,-41,-1.52,-0.88,Matches
369,Lorenzo Bernasconi,it ITA,MF,Atalanta,it Serie A,18,2003,0,,,,,0,,0,0,,8,,,,,,,Matches
